City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Kalispell,US,48.1958,-114.3129,64.17,75,0,3.44,clear sky
268,Severnyy,RU,50.677,36.5532,62.64,77,75,8.95,broken clouds
269,Puerto El Triunfo,SV,13.2833,-88.55,77.92,87,100,4.63,overcast clouds
270,Palmer,US,42.1584,-72.3287,67.57,76,0,9.22,clear sky
271,Dharchula,IN,29.85,80.5333,81.97,75,97,2.95,overcast clouds
272,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,46.49,87,4,5.12,clear sky
273,Zhangye,CN,38.9342,100.4517,87.78,22,37,10.85,scattered clouds
274,Oltu,TR,40.5498,42.0013,67.28,72,88,3.96,overcast clouds
275,Port Lincoln,AU,-34.7333,135.8667,57.04,70,43,18.19,scattered clouds
276,Broome,US,42.2506,-75.833,74.62,65,0,10.0,clear sky
277,Klaksvik,FO,62.2266,-6.589,50.92,91,92,43.62,light rain
278,Codrington,AU,-38.2667,141.9667,52.81,64,84,4.23,broken clouds
279,Port-Cartier,CA,50.0334,-66.8654,57.42,100,100,4.94,overcast clouds
280,Kirakira,SB,-10.4544,161.9205,82.9,75,12,8.41,few clouds
281,Magistralnyy,RU,56.1725,107.4458,63.95,66,99,6.98,overcast clouds
282,Kapoeta,SS,4.7717,33.5903,78.06,51,75,22.35,broken clouds
283,Aripuana,BR,-9.1667,-60.6333,73.96,67,60,0.29,broken clouds
284,Srednekolymsk,RU,67.45,153.6833,86.59,39,44,18.75,scattered clouds
285,Miami,US,25.7743,-80.1937,82.99,84,0,3.44,clear sky
286,Meulaboh,ID,4.1363,96.1285,85.28,60,100,3.91,moderate rain
287,Semnan,IR,35.5729,53.3971,94.82,12,0,4.09,clear sky
288,Along,IN,28.1667,94.7667,94.5,53,69,2.62,broken clouds
289,Kavaratti,IN,10.5669,72.642,81.57,79,100,18.52,overcast clouds
290,San Jose,US,37.3394,-121.895,69.93,80,20,6.91,few clouds
291,Pita,GN,10.8333,-12.5833,72.32,97,100,1.66,moderate rain
292,Samdrup Jongkhar,BT,26.9167,91.6167,82.4,79,84,4.09,broken clouds
293,Ambanja,MG,-13.6833,48.45,77.65,47,3,1.3,clear sky
294,Victor Harbor,AU,-35.5667,138.6167,55.0,77,46,3.0,scattered clouds
295,Jibuti,DJ,11.5,42.5,85.06,37,100,15.28,overcast clouds
296,Darhan,MN,49.4867,105.9228,68.02,58,99,3.94,overcast clouds
297,Natal,BR,-5.795,-35.2094,72.25,100,0,3.44,clear sky
298,Roma,US,43.2128,-75.4557,76.87,63,20,8.05,few clouds
299,Annan,GB,54.9884,-3.2565,64.98,87,100,12.37,overcast clouds
300,Tecoanapa,MX,16.5167,-98.75,80.37,83,95,5.53,overcast clouds
301,Muravlenko,RU,63.7898,74.523,63.82,40,44,14.29,scattered clouds
302,Petrovsk,RU,52.3064,45.3917,77.9,44,100,14.85,overcast clouds
303,Bilaspur,IN,22.0833,82.15,89.67,56,59,11.3,broken clouds
304,Chifeng,CN,42.2683,118.9636,77.11,55,92,17.72,overcast clouds
305,Verkhniy Baskunchak,RU,48.2256,46.7217,86.68,37,11,8.19,few clouds
306,Atar,MR,20.5169,-13.0499,85.35,39,1,4.45,clear sky
307,Koungou,YT,-12.7336,45.2042,80.31,61,0,12.66,clear sky
308,Coquimbo,CL,-29.9533,-71.3436,49.73,87,0,10.36,clear sky
309,Nsanje,MW,-16.92,35.262,70.45,69,89,4.34,overcast clouds
310,Asosa,ET,10.0667,34.5333,59.41,96,100,4.36,light rain
311,Muros,ES,42.7762,-9.0603,72.84,65,0,9.17,clear sky
312,Chongwe,ZM,-15.3292,28.682,58.59,74,26,5.73,scattered clouds
313,Bafut,CM,6.0833,10.1,64.38,97,94,1.1,overcast clouds
314,Komsomolskiy,UZ,40.4272,71.7189,88.52,19,5,11.5,clear sky
315,Pathein,MM,16.7833,94.7333,79.83,85,93,6.08,overcast clouds
